State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
New Mexico,DONA ANA,Hatch Police Department,NM0070300,111,43,68,111,43,68,3,1,2,0,0,0,0,0,0,0,0,0,44,9,35,17,5,12,143,31,112,0,0,0,204,45,159,32.350912,-106.832182
New Mexico,DONA ANA,New Mexico State University,NM0070400,46,11,35,86,16,70,4,1,3,0,0,0,10,3,7,0,0,0,188,17,171,67,9,58,1062,29,1033,25,2,23,1317,55,1262,32.350912,-106.832182
New Mexico,DONA ANA,Mesilla Police Department,NM0070500,7,3,4,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,15,1,14,3,0,3,14,2,12,0,0,0,32,3,29,32.350912,-106.832182
New Mexico,DONA ANA,Sunland Park Police Department,NM0070600,341,73,268,400,81,319,7,1,6,0,0,0,34,4,30,0,0,0,291,28,263,107,12,95,586,82,504,30,3,27,984,122,862,31.795942,-106.555046
New Mexico,EDDY,Eddy County Sheriff's Office,NM0080000,315,20,295,363,20,343,0,0,0,0,0,0,0,0,0,8,0,8,492,9,483,468,6,462,1230,5,1225,32,0,32,2190,20,2170,32.420414,-104.22896
New Mexico,EDDY,Artesia Police Department,NM0080100,909,258,651,991,267,724,44,9,35,0,0,0,21,3,18,8,2,6,1051,45,1006,220,22,198,1990,288,1702,35,1,34,3261,355,2906,32.457858,-104.306471
New Mexico,EDDY,Carlsbad Police Department,NM0080200,1123,263,860,1407,307,1100,95,6,89,0,0,0,67,5,62,33,10,23,1187,81,1106,994,104,890,5874,662,5212,92,11,81,8055,847,7208,32.457858,-104.306471
New Mexico,EDDY,Loving Police Department,NM0080300,10,2,8,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,60,8,52,14,1,13,50,1,49,0,0,0,124,10,114,32.457858,-104.306471
New Mexico,EDDY,Hope,NM0080500,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,2,0,2,0,0,0,13,0,13,32.457858,-104.306471
New Mexico,GRANT,Grant County Sheriff's Office,NM0090000,67,0,67,86,0,86,5,0,5,0,0,0,0,0,0,0,0,0,259,0,259,0,0,0,243,0,243,16,0,16,502,0,502,32.783188,-108.265976
New Mexico,GRANT,Silver City Police Department,NM0090100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.732087,-108.381504
New Mexico,GRANT,Bayard Police Department,NM0090200,97,30,67,98,30,68,0,0,0,0,0,0,0,0,0,0,0,0,71,5,66,23,1,22,85,8,77,0,0,0,179,14,165,32.732087,-108.381504
New Mexico,GRANT,Santa Clara Police Department,NM0090300,22,6,16,22,6,16,4,1,3,0,0,0,0,0,0,0,0,0,66,4,62,17,3,14,75,10,65,0,0,0,158,17,141,32.732087,-108.381504
